index,split,sequence,frame,image,steering,referenceYRatio,laneWidthPriorPx,imageWidth,imageHeight,status,eY,eyQuality,referenceY,imageCenterX,leftX,rightX,laneCenterX,laneWidthPx,inferredLaneWidthPx,yellowRunCount,leftRun,rightRun,yellowRunsJson,preview
10,test,2,10,E:\桌面\v-Net\dataset\25地下室\2\10_0.0000.jpg,0.0,0.54,411.0226745605469,640,480,inferred_missing_left,-0.3253921985626221,0.6,259,320.0,10.3631591796875,421.3858337402344,215.87449645996094,411.0226745605469,411.0226745605469,1,,,"[[388, 452]]",
11,test,2,11,E:\桌面\v-Net\dataset\25地下室\2\11_0.0000.jpg,0.0,0.54,411.0226745605469,640,480,inferred_missing_left,-0.37372379302978515,0.6,259,320.0,0.0,400.8167724609375,200.40838623046875,400.8167724609375,411.0226745605469,1,,,"[[367, 436]]",
12,test,2,12,E:\桌面\v-Net\dataset\25地下室\2\12_0.0000.jpg,0.0,0.54,411.0226745605469,640,480,inferred_missing_left,-0.38897480964660647,0.6,259,320.0,0.0,391.0561218261719,195.52806091308594,391.0561218261719,411.0226745605469,1,,,"[[359, 424]]",
13,test,2,13,E:\桌面\v-Net\dataset\25地下室\2\13_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,inferred_missing_left,-0.4203930854797363,0.6,259,320.0,0.0,370.94842529296875,185.47421264648438,370.94842529296875,411.0226745605469,1,,,"[[332, 405]]",
14,test,2,14,E:\桌面\v-Net\dataset\25地下室\2\14_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,inferred_missing_left,-0.43448553085327146,0.6,259,320.0,0.0,361.92926025390625,180.96463012695312,361.92926025390625,411.0226745605469,1,,,"[[323, 398]]",
15,test,2,15,E:\桌面\v-Net\dataset\25地下室\2\15_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,inferred_missing_left,-0.4409461975097656,0.6,259,320.0,0.0,357.79443359375,178.897216796875,357.79443359375,411.0226745605469,1,,,"[[319, 396]]",
16,test,2,16,E:\桌面\v-Net\dataset\25地下室\2\16_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,inferred_missing_left,-0.4589702129364014,0.6,259,320.0,0.0,346.2590637207031,173.12953186035156,346.2590637207031,411.0226745605469,1,,,"[[308, 385]]",
17,test,2,17,E:\桌面\v-Net\dataset\25地下室\2\17_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,inferred_missing_left,-0.46069016456604006,0.6,259,320.0,0.0,345.1582946777344,172.5791473388672,345.1582946777344,411.0226745605469,1,,,"[[307, 381]]",
18,test,2,18,E:\桌面\v-Net\dataset\25地下室\2\18_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,inferred_missing_left,-0.4690560340881348,0.6,259,320.0,0.0,339.80413818359375,169.90206909179688,339.80413818359375,411.0226745605469,1,,,"[[301, 379]]",
19,test,2,19,E:\桌面\v-Net\dataset\25地下室\2\19_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,inferred_missing_left,-0.471736478805542,0.6,259,320.0,0.0,338.0886535644531,169.04432678222656,338.0886535644531,411.0226745605469,1,,,"[[300, 376]]",
20,test,2,20,E:\桌面\v-Net\dataset\25地下室\2\20_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,inferred_missing_left,-0.470093297958374,0.6,259,320.0,0.0,339.1402893066406,169.5701446533203,339.1402893066406,411.0226745605469,1,,,"[[303, 375]]",
21,test,2,21,E:\桌面\v-Net\dataset\25地下室\2\21_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,insufficient_yellow_edges,,0.0,259,320.0,,,,,,2,,,"[[301, 374], [601, 639]]",
22,test,2,22,E:\桌面\v-Net\dataset\25地下室\2\22_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,insufficient_yellow_edges,,0.0,259,320.0,,,,,,2,,,"[[300, 371], [525, 639]]",
23,test,2,23,E:\桌面\v-Net\dataset\25地下室\2\23_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,insufficient_yellow_edges,,0.0,259,320.0,,,,,,2,,,"[[296, 368], [497, 639]]",
24,test,2,24,E:\桌面\v-Net\dataset\25地下室\2\24_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,insufficient_yellow_edges,,0.0,259,320.0,,,,,,3,,,"[[297, 367], [455, 573], [580, 596]]",
25,test,2,25,E:\桌面\v-Net\dataset\25地下室\2\25_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,insufficient_yellow_edges,,0.0,259,320.0,,,,,,2,,,"[[297, 367], [439, 583]]",
26,test,2,26,E:\桌面\v-Net\dataset\25地下室\2\26_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,insufficient_yellow_edges,,0.0,259,320.0,,,,,,2,,,"[[298, 369], [420, 576]]",
27,test,2,27,E:\桌面\v-Net\dataset\25地下室\2\27_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,insufficient_yellow_edges,,0.0,259,320.0,,,,,,2,,,"[[299, 371], [413, 564]]",
28,test,2,28,E:\桌面\v-Net\dataset\25地下室\2\28_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,insufficient_yellow_edges,,0.0,259,320.0,,,,,,2,,,"[[304, 369], [400, 532]]",
29,test,2,29,E:\桌面\v-Net\dataset\25地下室\2\29_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,insufficient_yellow_edges,,0.0,259,320.0,,,,,,2,,,"[[306, 371], [395, 520]]",
30,test,2,30,E:\桌面\v-Net\dataset\25地下室\2\30_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,insufficient_yellow_edges,,0.0,259,320.0,,,,,,2,,,"[[304, 371], [392, 495]]",
31,test,2,31,E:\桌面\v-Net\dataset\25地下室\2\31_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,insufficient_yellow_edges,,0.0,259,320.0,,,,,,2,,,"[[305, 376], [393, 489]]",
32,test,2,32,E:\桌面\v-Net\dataset\25地下室\2\32_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,insufficient_yellow_edges,,0.0,259,320.0,,,,,,2,,,"[[306, 373], [391, 462]]",
33,test,2,33,E:\桌面\v-Net\dataset\25地下室\2\33_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,insufficient_yellow_edges,,0.0,259,320.0,,,,,,2,,,"[[307, 372], [395, 459]]",
34,test,2,34,E:\桌面\v-Net\dataset\25地下室\2\34_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,insufficient_yellow_edges,,0.0,259,320.0,,,,,,2,,,"[[308, 374], [389, 465]]",
35,test,2,35,E:\桌面\v-Net\dataset\25地下室\2\35_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,insufficient_yellow_edges,,0.0,259,320.0,,,,,,2,,,"[[309, 373], [390, 466]]",
36,test,2,36,E:\桌面\v-Net\dataset\25地下室\2\36_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,insufficient_yellow_edges,,0.0,259,320.0,,,,,,2,,,"[[310, 373], [393, 436]]",
37,test,2,37,E:\桌面\v-Net\dataset\25地下室\2\37_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,insufficient_yellow_edges,,0.0,259,320.0,,,,,,2,,,"[[311, 376], [399, 439]]",
38,test,2,38,E:\桌面\v-Net\dataset\25地下室\2\38_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,insufficient_yellow_edges,,0.0,259,320.0,,,,,,2,,,"[[310, 377], [406, 440]]",
39,test,2,39,E:\桌面\v-Net\dataset\25地下室\2\39_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,insufficient_yellow_edges,,0.0,259,320.0,,,,,,2,,,"[[312, 378], [411, 445]]",
40,test,2,40,E:\桌面\v-Net\dataset\25地下室\2\40_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,insufficient_yellow_edges,,0.0,259,320.0,,,,,,2,,,"[[312, 380], [422, 456]]",
41,test,2,41,E:\桌面\v-Net\dataset\25地下室\2\41_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,insufficient_yellow_edges,,0.0,259,320.0,,,,,,2,,,"[[311, 379], [426, 463]]",
42,test,2,42,E:\桌面\v-Net\dataset\25地下室\2\42_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,insufficient_yellow_edges,,0.0,259,320.0,,,,,,2,,,"[[318, 382], [445, 480]]",
43,test,2,43,E:\桌面\v-Net\dataset\25地下室\2\43_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,insufficient_yellow_edges,,0.0,259,320.0,,,,,,2,,,"[[320, 381], [454, 485]]",
44,test,2,44,E:\桌面\v-Net\dataset\25地下室\2\44_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,insufficient_yellow_edges,,0.0,259,320.0,,,,,,4,,,"[[322, 389], [476, 511], [539, 577], [595, 615]]",
45,test,2,45,E:\桌面\v-Net\dataset\25地下室\2\45_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,insufficient_yellow_edges,,0.0,259,320.0,,,,,,4,,,"[[324, 395], [485, 522], [554, 599], [605, 639]]",
46,test,2,46,E:\桌面\v-Net\dataset\25地下室\2\46_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,insufficient_yellow_edges,,0.0,259,320.0,,,,,,3,,,"[[327, 393], [510, 543], [582, 639]]",
47,test,2,47,E:\桌面\v-Net\dataset\25地下室\2\47_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,insufficient_yellow_edges,,0.0,259,320.0,,,,,,3,,,"[[331, 396], [522, 559], [608, 639]]",
48,test,2,48,E:\桌面\v-Net\dataset\25地下室\2\48_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,insufficient_yellow_edges,,0.0,259,320.0,,,,,,2,,,"[[335, 397], [549, 586]]",
49,test,2,49,E:\桌面\v-Net\dataset\25地下室\2\49_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,insufficient_yellow_edges,,0.0,259,320.0,,,,,,2,,,"[[335, 400], [562, 598]]",
50,test,2,50,E:\桌面\v-Net\dataset\25地下室\2\50_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,insufficient_yellow_edges,,0.0,259,320.0,,,,,,2,,,"[[338, 405], [594, 630]]",
51,test,2,51,E:\桌面\v-Net\dataset\25地下室\2\51_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,insufficient_yellow_edges,,0.0,259,320.0,,,,,,2,,,"[[346, 408], [630, 639]]",
52,test,2,52,E:\桌面\v-Net\dataset\25地下室\2\52_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,inferred_missing_left,-0.40429177284240725,0.6,259,320.0,0.0,381.2532653808594,190.6266326904297,381.2532653808594,411.0226745605469,1,,,"[[349, 412]]",
53,test,2,53,E:\桌面\v-Net\dataset\25地下室\2\53_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,inferred_missing_left,-0.4006155490875244,0.6,259,320.0,0.0,383.6060485839844,191.8030242919922,383.6060485839844,411.0226745605469,1,,,"[[350, 416]]",
54,test,2,54,E:\桌面\v-Net\dataset\25地下室\2\54_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,inferred_missing_left,-0.3905174255371094,0.6,259,320.0,0.0,390.06884765625,195.034423828125,390.06884765625,411.0226745605469,1,,,"[[359, 422]]",
55,test,2,55,E:\桌面\v-Net\dataset\25地下室\2\55_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,inferred_missing_left,-0.38696966171264646,0.6,259,320.0,0.0,392.33941650390625,196.16970825195312,392.33941650390625,411.0226745605469,1,,,"[[363, 422]]",
56,test,2,56,E:\桌面\v-Net\dataset\25地下室\2\56_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,inferred_missing_left,-0.38074140548706054,0.6,259,320.0,0.0,396.32550048828125,198.16275024414062,396.32550048828125,411.0226745605469,1,,,"[[364, 427]]",
57,test,2,57,E:\桌面\v-Net\dataset\25地下室\2\57_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,inferred_missing_left,-0.3774833679199219,0.6,259,320.0,0.0,398.41064453125,199.205322265625,398.41064453125,411.0226745605469,1,,,"[[366, 431]]",
58,test,2,58,E:\桌面\v-Net\dataset\25地下室\2\58_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,inferred_missing_left,-0.3739114761352539,0.6,259,320.0,0.0,400.6966552734375,200.34832763671875,400.6966552734375,411.0226745605469,1,,,"[[368, 433]]",
59,test,2,59,E:\桌面\v-Net\dataset\25地下室\2\59_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,inferred_missing_left,-0.37209405899047854,0.6,259,320.0,0.0,401.85980224609375,200.92990112304688,401.85980224609375,411.0226745605469,1,,,"[[370, 434]]",
60,test,2,60,E:\桌面\v-Net\dataset\25地下室\2\60_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,inferred_missing_left,-0.36407837867736814,0.6,259,320.0,0.0,406.9898376464844,203.4949188232422,406.9898376464844,411.0226745605469,1,,,"[[378, 437]]",
61,test,2,61,E:\桌面\v-Net\dataset\25地下室\2\61_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,inferred_missing_left,-0.358764123916626,0.6,259,320.0,0.0,410.3909606933594,205.1954803466797,410.3909606933594,411.0226745605469,1,,,"[[378, 441]]",
62,test,2,62,E:\桌面\v-Net\dataset\25地下室\2\62_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,inferred_missing_left,-0.3472429752349854,0.6,259,320.0,3.37091064453125,414.3935852050781,208.8822479248047,411.0226745605469,411.0226745605469,1,,,"[[383, 448]]",
63,test,2,63,E:\桌面\v-Net\dataset\25地下室\2\63_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,inferred_missing_left,-0.34462437629699705,0.6,259,320.0,4.2088623046875,415.2315368652344,209.72019958496094,411.0226745605469,411.0226745605469,1,,,"[[384, 446]]",
64,test,2,64,E:\桌面\v-Net\dataset\25地下室\2\64_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,inferred_missing_left,-0.3355711460113525,0.6,259,320.0,7.10589599609375,418.1285705566406,212.6172332763672,411.0226745605469,411.0226745605469,1,,,"[[384, 452]]",
65,test,2,65,E:\桌面\v-Net\dataset\25地下室\2\65_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,inferred_missing_left,-0.33712067604064944,0.6,259,320.0,6.61004638671875,417.6327209472656,212.1213836669922,411.0226745605469,411.0226745605469,1,,,"[[384, 452]]",
66,test,2,66,E:\桌面\v-Net\dataset\25地下室\2\66_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,inferred_missing_left,-0.33701128959655763,0.6,259,320.0,6.645050048828125,417.667724609375,212.15638732910156,411.0226745605469,411.0226745605469,1,,,"[[386, 450]]",
67,test,2,67,E:\桌面\v-Net\dataset\25地下室\2\67_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,inferred_missing_left,-0.33473381996154783,0.6,259,320.0,7.37384033203125,418.3965148925781,212.8851776123047,411.0226745605469,411.0226745605469,1,,,"[[387, 451]]",
68,test,2,68,E:\桌面\v-Net\dataset\25地下室\2\68_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,inferred_missing_left,-0.3232387065887451,0.6,259,320.0,11.052276611328125,422.074951171875,216.56361389160156,411.0226745605469,411.0226745605469,1,,,"[[393, 452]]",
69,test,2,69,E:\桌面\v-Net\dataset\25地下室\2\69_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,inferred_missing_left,-0.3176584720611572,0.6,259,320.0,12.83795166015625,423.8606262207031,218.3492889404297,411.0226745605469,411.0226745605469,1,,,"[[395, 453]]",
70,test,2,70,E:\桌面\v-Net\dataset\25地下室\2\70_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,inferred_missing_left,-0.2955504894256592,0.6,259,320.0,19.912506103515625,430.9351806640625,225.42384338378906,411.0226745605469,411.0226745605469,1,,,"[[402, 461]]",
71,test,2,71,E:\桌面\v-Net\dataset\25地下室\2\71_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,ok,-0.3088085979223251,1.0,259,320.0,6.555093765258789,435.8074035644531,221.18124866485596,429.25230979919434,,2,"[0, 15]","[408, 465]","[[0, 15], [408, 465]]",
72,test,2,72,E:\桌面\v-Net\dataset\25地下室\2\72_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,ok,-0.27346996366977694,1.0,259,320.0,17.29120445251465,447.6880187988281,232.4896116256714,430.3968143463135,,2,"[0, 37]","[422, 474]","[[0, 37], [422, 474]]",
73,test,2,73,E:\桌面\v-Net\dataset\25地下室\2\73_1.4500.jpg,1.45,0.54,411.0226745605469,640,480,ok,-0.24679725766181945,1.0,259,320.0,26.128673553466797,455.92108154296875,241.02487754821777,429.79240798950195,,2,"[4, 47]","[429, 483]","[[4, 47], [429, 483]]",
74,test,2,74,E:\桌面\v-Net\dataset\25地下室\2\74_0.0000.jpg,0.0,0.54,411.0226745605469,640,480,ok,-0.19443270564079285,1.0,259,320.0,45.3522834777832,470.2107849121094,257.7815341949463,424.8585014343262,,3,"[22, 69]","[445, 497]","[[22, 69], [445, 497], [616, 639]]",
75,test,2,75,E:\桌面\v-Net\dataset\25地下室\2\75_0.0000.jpg,0.0,0.54,411.0226745605469,640,480,ok,-0.1833481788635254,1.0,259,320.0,49.256622314453125,473.4005432128906,261.3285827636719,424.1439208984375,,3,"[25, 72]","[450, 498]","[[25, 72], [450, 498], [601, 639]]",
76,test,2,76,E:\桌面\v-Net\dataset\25地下室\2\76_0.0000.jpg,0.0,0.54,411.0226745605469,640,480,ok,-0.19123619198799133,1.0,259,320.0,46.10166549682617,471.5071716308594,258.8044185638428,425.4055061340332,,3,"[23, 69]","[447, 496]","[[23, 69], [447, 496], [574, 639]]",
77,test,2,77,E:\桌面\v-Net\dataset\25地下室\2\77_0.0000.jpg,0.0,0.54,411.0226745605469,640,480,ok,-0.19865511655807494,1.0,259,320.0,43.97870635986328,468.88201904296875,256.430362701416,424.90331268310547,,3,"[21, 66]","[445, 493]","[[21, 66], [445, 493], [566, 639]]",
78,test,2,78,E:\桌面\v-Net\dataset\25地下室\2\78_0.0000.jpg,0.0,0.54,411.0226745605469,640,480,ok,-0.21217921376228333,1.0,259,320.0,38.94889450073242,465.25640869140625,252.10265159606934,426.3075141906738,,3,"[16, 61]","[441, 490]","[[16, 61], [441, 490], [541, 631]]",
79,test,2,79,E:\桌面\v-Net\dataset\25地下室\2\79_0.0000.jpg,0.0,0.54,411.0226745605469,640,480,ok,-0.22387718558311462,1.0,259,320.0,34.660831451416016,462.0577697753906,248.35930061340332,427.3969383239746,,3,"[11, 58]","[439, 486]","[[11, 58], [439, 486], [518, 602]]",
80,test,2,80,E:\桌面\v-Net\dataset\25地下室\2\80_0.0000.jpg,0.0,0.54,411.0226745605469,640,480,ok,-0.2379564732313156,1.0,259,320.0,30.131471633911133,457.5763854980469,243.853928565979,427.44491386413574,,3,"[7, 51]","[434, 482]","[[7, 51], [434, 482], [496, 580]]",
81,test,2,81,E:\桌面\v-Net\dataset\25地下室\2\81_0.0000.jpg,0.0,0.54,411.0226745605469,640,480,ok,-0.247688028216362,1.0,259,320.0,25.21000862121582,456.2696533203125,240.73983097076416,431.0596446990967,,3,"[4, 45]","[432, 482]","[[4, 45], [432, 482], [489, 575]]",
82,test,2,82,E:\桌面\v-Net\dataset\25地下室\2\82_0.0000.jpg,0.0,0.54,411.0226745605469,640,480,ok,-0.2081619143486023,1.0,259,320.0,19.26691436767578,487.50946044921875,253.38818740844727,468.24254608154297,,2,"[0, 43]","[430, 555]","[[0, 43], [430, 555]]",
83,test,2,83,E:\桌面\v-Net\dataset\25地下室\2\83_0.0000.jpg,0.0,0.54,411.0226745605469,640,480,ok,-0.21766334474086763,1.0,259,320.0,19.716943740844727,480.978515625,250.34772968292236,461.2615718841553,,2,"[0, 44]","[429, 543]","[[0, 44], [429, 543]]",
84,test,2,84,E:\桌面\v-Net\dataset\25地下室\2\84_0.0000.jpg,0.0,0.54,411.0226745605469,640,480,ok,-0.23186979293823243,1.0,259,320.0,18.3990478515625,473.20428466796875,245.80166625976562,454.80523681640625,,2,"[0, 41]","[427, 528]","[[0, 41], [427, 528]]",
85,test,2,85,E:\桌面\v-Net\dataset\25地下室\2\85_0.0000.jpg,0.0,0.54,411.0226745605469,640,480,ok,-0.24148426651954652,1.0,259,320.0,17.802791595458984,467.64727783203125,242.72503471374512,449.84448623657227,,2,"[0, 39]","[424, 519]","[[0, 39], [424, 519]]",
86,test,2,86,E:\桌面\v-Net\dataset\25地下室\2\86_0.0000.jpg,0.0,0.54,411.0226745605469,640,480,ok,-0.2625748246908188,1.0,259,320.0,13.292291641235352,458.6598205566406,235.976056098938,445.3675289154053,,2,"[0, 31]","[422, 502]","[[0, 31], [422, 502]]",
87,test,2,87,E:\桌面\v-Net\dataset\25地下室\2\87_0.0000.jpg,0.0,0.54,411.0226745605469,640,480,ok,-0.2710002318024635,1.0,259,320.0,11.962286949157715,454.5975646972656,233.27992582321167,442.6352777481079,,2,"[0, 30]","[419, 496]","[[0, 30], [419, 496]]",
88,test,2,88,E:\桌面\v-Net\dataset\25地下室\2\88_0.0000.jpg,0.0,0.54,411.0226745605469,640,480,ok,-0.2887719690799713,1.0,259,320.0,11.21279525756836,443.97314453125,227.59296989440918,432.76034927368164,,2,"[0, 29]","[411, 482]","[[0, 29], [411, 482]]",
89,test,3,0,E:\桌面\v-Net\dataset\25地下室\3\0_0.0000.jpg,0.0,0.54,411.0226745605469,640,480,ok,0.1295102596282959,1.0,259,320.0,185.73056030273438,537.156005859375,361.4432830810547,351.4254455566406,,3,"[156, 215]","[525, 550]","[[0, 84], [156, 215], [525, 550]]",
90,test,3,1,E:\桌面\v-Net\dataset\25地下室\3\1_-1.4890.jpg,-1.489,0.54,411.0226745605469,640,480,ok,0.12210378646850586,1.0,259,320.0,201.3699951171875,516.7764282226562,359.0732116699219,315.40643310546875,,3,"[170, 232]","[504, 529]","[[8, 113], [170, 232], [504, 529]]",
91,test,3,2,E:\桌面\v-Net\dataset\25地下室\3\2_-1.4890.jpg,-1.489,0.54,411.0226745605469,640,480,ok,0.11988592147827148,1.0,259,320.0,206.77993774414062,509.9470520019531,358.3634948730469,303.1671142578125,,3,"[175, 239]","[492, 528]","[[38, 130], [175, 239], [492, 528]]",
92,test,3,3,E:\桌面\v-Net\dataset\25地下室\3\3_-1.4890.jpg,-1.489,0.54,411.0226745605469,640,480,ok,0.1143754005432129,1.0,259,320.0,210.69329833984375,502.5069580078125,356.6001281738281,291.81365966796875,,3,"[178, 244]","[482, 523]","[[51, 136], [178, 244], [482, 523]]",
93,test,3,4,E:\桌面\v-Net\dataset\25地下室\3\4_-1.4890.jpg,-1.489,0.54,411.0226745605469,640,480,ok,0.08047044277191162,1.0,259,320.0,213.3922882080078,478.1087951660156,345.7505416870117,264.7165069580078,,3,"[181, 247]","[460, 497]","[[51, 125], [181, 247], [460, 497]]",
94,test,3,5,E:\桌面\v-Net\dataset\25地下室\3\5_-1.4890.jpg,-1.489,0.54,411.0226745605469,640,480,insufficient_yellow_edges,,0.0,259,320.0,,,,,,2,,,"[[39, 110], [182, 251]]",
95,test,3,6,E:\桌面\v-Net\dataset\25地下室\3\6_-1.4890.jpg,-1.489,0.54,411.0226745605469,640,480,ok,-0.0387282133102417,1.0,259,320.0,214.93955993652344,400.2743835449219,307.60697174072266,185.33482360839844,,3,"[179, 252]","[384, 417]","[[48, 106], [179, 252], [384, 417]]",
96,test,3,7,E:\桌面\v-Net\dataset\25地下室\3\7_-1.4890.jpg,-1.489,0.54,411.0226745605469,640,480,ok,-0.0596583366394043,1.0,259,320.0,214.4774169921875,387.34124755859375,300.9093322753906,172.86383056640625,,3,"[177, 253]","[366, 408]","[[44, 101], [177, 253], [366, 408]]",
97,test,3,8,E:\桌面\v-Net\dataset\25地下室\3\8_-1.4890.jpg,-1.489,0.54,411.0226745605469,640,480,ok,-0.10069746971130371,1.0,259,320.0,212.9052734375,362.6483459472656,287.7768096923828,149.74307250976562,,3,"[173, 254]","[339, 387]","[[26, 78], [173, 254], [339, 387]]",
98,test,3,9,E:\桌面\v-Net\dataset\25地下室\3\9_-1.4890.jpg,-1.489,0.54,411.0226745605469,640,480,ok,-0.12093477249145508,1.0,259,320.0,214.78591918945312,347.8158264160156,281.3008728027344,133.0299072265625,,3,"[174, 256]","[326, 369]","[[13, 65], [174, 256], [326, 369]]",
99,test,3,10,E:\桌面\v-Net\dataset\25地下室\3\10_-1.4890.jpg,-1.489,0.54,411.0226745605469,640,480,insufficient_yellow_edges,,0.0,259,320.0,,,,,,3,,,"[[0, 33], [174, 259], [272, 302]]",
